floor,number_of_storeys,ceiling_height,target_price,total_area,living_area,kitchen_area,district,near_the_subway,number_of_rooms,house_type,bathroom,balcony,year_built
16.0,17.0,3.13,74000.0,65.0,33.0,17.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2017.0
4.0,9.0,2.52,72000.0,63.47,43.72,7.22,Frunzensky,Yes,3,panel,separate,Loggia,1982.0
3.0,4.0,3.09,270000.0,158.0,97.1,12.8,Sovetsky,No,5,silicate,2,Two balconies,2005.0
9.0,12.0,2.49,108000.0,83.1,52.2,11.1,Oktyabrsky,Yes,4,brick,separate,Loggia,1999.0
18.0,18.0,2.73,64000.0,44.0,16.8,10.4,Pervomaisky,No,1,frame-block,combined,Loggia,2015.0
2.0,9.0,2.45,49000.0,34.3,16.51,7.52,Frunzensky,Yes,1,panel,combined,Balcony,1975.0
3.0,10.0,2.65,61000.0,49.1,22.5,10.6,Frunzensky,No,1,panel,combined,Balcony,2013.0
9.0,9.0,2.55,63000.0,76.5,46.8,10.2,Oktyabrsky,No,3,panel,separate,Loggia,2009.0
20.0,24.0,2.72,105000.0,51.2,28.2,15.0,Pervomaisky,Yes,1,frame-block,separate,Balcony,2020.0
5.0,9.0,2.55,77000.0,49.0,28.4,7.2,Tsentralny,No,2,panel,separate,Loggia,1986.0
1.0,5.0,2.5,52000.0,39.5,23.2,6.2,Sovetsky,Yes,2,brick,combined,Balcony,1970.0
3.0,9.0,2.52,61000.0,46.6,28.5,7.0,Sovetsky,No,2,panel,separate,Loggia,1981.0
6.0,9.0,2.54,67000.0,46.7,28.5,7.1,Moskovsky,Yes,2,panel,separate,Loggia,1988.0
2.0,4.0,2.85,99000.0,74.23,49.95,8.88,Tsentralny,Yes,3,brick,separate,Without,1958.0
1.0,17.0,2.71,57000.0,44.8,19.5,10.32,Moskovsky,Yes,1,monolithic,combined,Loggia,2021.0
4.0,9.0,2.55,57000.0,32.5,17.0,8.2,Sovetsky,No,1,panel,combined,Loggia,1984.0
23.0,25.0,2.7,63000.0,55.5,32.0,10.4,Oktyabrsky,Yes,2,frame-block,combined,Two balconies,2021.0
5.0,23.0,2.7,53000.0,41.7,17.3,10.5,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
10.0,10.0,2.54,89000.0,65.5,39.0,7.7,Sovetsky,No,3,brick,separate,Loggia,2000.0
6.0,7.0,2.75,134000.0,79.1,44.5,12.0,Tsentralny,No,3,frame-block,separate,Loggia,2021.0
3.0,10.0,2.52,114000.0,64.0,40.1,9.1,Pervomaisky,Yes,3,brick,combined,Two balconies,1991.0
1.0,9.0,2.5,91000.0,82.0,47.9,9.1,Moskovsky,No,3,panel,2,Two balconies,1997.0
11.0,20.0,2.8,259000.0,128.0,80.0,13.0,Sovetsky,Yes,4,frame-block,separate,Two balconies,2009.0
5.0,16.0,2.5,120000.0,43.7,33.7,9.0,Pervomaisky,Yes,1,frame-block,combined,Loggia,2016.0
3.0,3.0,3.6,178000.0,90.0,53.0,11.0,Moskovsky,Yes,3,brick,separate,Balcony,1917.0
5.0,10.0,2.55,75000.0,38.0,18.8,9.1,Frunzensky,Yes,1,monolithic,combined,Balcony,2015.0
12.0,14.0,2.7,124000.0,65.4,31.5,10.8,Sovetsky,Yes,2,frame-block,separate,Loggia,2015.0
3.0,5.0,2.5,49000.0,44.9,32.4,5.8,Partizansky,Yes,2,panel,combined,Balcony,1964.0
9.0,9.0,2.51,45000.0,33.3,17.2,7.1,Moskovsky,No,1,panel,separate,Loggia,1993.0
19.0,21.0,2.73,54000.0,31.0,19.0,8.0,Oktyabrsky,Yes,1,frame-block,separate,Loggia,2020.0
12.0,25.0,2.7,111000.0,65.0,33.0,13.5,Frunzensky,Yes,2,monolithic,separate,Loggia,2011.0
2.0,4.0,2.8,99000.0,33.0,12.0,18.0,Sovetsky,Yes,2,brick,combined,Without,1958.0
15.0,24.0,3.0,1000.0,242.8,128.8,26.0,Tsentralny,Yes,4,frame-block,more than 2,Two balconies,2011.0
4.0,9.0,2.54,56000.0,39.0,17.0,9.0,Moskovsky,Yes,1,panel,separate,Loggia,2003.0
1.0,4.0,3.0,210000.0,62.0,35.0,10.0,Moskovsky,Yes,2,brick,separate,Without,1955.0
1.0,5.0,2.7,46000.0,31.6,19.0,5.7,Partizansky,Yes,1,panel,combined,Without,1965.0
4.0,9.0,2.54,55000.0,33.0,17.3,8.5,Frunzensky,Yes,1,panel,separate,Loggia,1977.0
2.0,9.0,2.63,229000.0,134.2,75.0,24.7,Partizansky,Yes,4,brick,2,Loggia,2000.0
3.0,16.0,2.51,126000.0,86.3,38.8,13.8,Frunzensky,Yes,2,frame-block,separate,Loggia,2010.0
9.0,12.0,2.75,118000.0,73.1,41.2,9.7,Frunzensky,Yes,3,frame-block,separate,Two balconies,2006.0
